,Proposal_ID,Submission_Date,Title,Abstract,PI_Name,Institution,Research_Area,Funding_Source,Duration_Months,Budget_Equipment,Budget_Manpower,Budget_Consumables,Budget_Travel,Budget_Contingency,Budget_Overheads,Budget_Total,Keywords
0,NACCER/2023/RD/5457,2023-04-04,Development of Advanced Dense Medium for Quality Improvement in Indian Coal,This research project aims to develop an innovative approach to development of advanced dense medium for quality improvement in indian coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Amit Rao,IIT Kharagpur,Rock Mechanics,CIL,18,2016006,1270709,568458,283879,232349,524568,4895969,Rock Mechanics; Advanced; Innovation; Applied Research
1,NACCER/2024/RD/1814,2024-07-02,Novel Flotation Approach for Efficiency Improvement of High-Ash Coal,This research project aims to develop an innovative approach to novel flotation approach for efficiency improvement of high-ash coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Prof. Neha Rao,CSIR-CIMFR,Mineral Processing,CIL,18,2284075,1654368,647776,300537,236399,614778,5737933,Mineral Processing; Approach; Innovation; Applied Research
2,NACCER/2023/RD/8968,2023-08-06,Novel Air Classification Approach for Efficiency Improvement of High-Ash Coal,The research proposes an advanced solution to novel air classification approach for efficiency improvement of high-ash coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Prof. Suresh Mehta,CSIR-CMRI,Mine Reclamation,CIL,12,1480935,1042903,467733,146186,166107,396463,3700327,Mine Reclamation; Classification; Innovation; Applied Research
3,NACCER/2022/RD/2364,2022-11-06,Development of Advanced Gravity Separation for Quality Improvement in Indian Coal,The proposed study focuses on developing a novel methodology to development of advanced gravity separation for quality improvement in indian coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Manoj Iyer,Anna University,Air Quality Control,CIL,18,991594,588698,247523,120568,115289,247640,2311312,Air Quality Control; Advanced; Innovation; Applied Research
4,NACCER/2022/RD/9610,2022-12-22,Optimization of Flotation Process for Quality Improvement,The proposed study focuses on developing a novel methodology to optimization of flotation process for quality improvement. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Manoj Mehta,IISc Bangalore,Mineral Processing,CIL,12,1968037,952880,427091,107980,179082,436208,4071278,Mineral Processing; Flotation; Innovation; Applied Research
5,NACCER/2024/RD/3972,2024-10-21,Deep Learning Framework for Process Control in Coal Mining,This project aims to address critical challenges to deep learning framework for process control in coal mining. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Kavita Rao,NERIST,Automation & AI,MoC,24,3378909,2025411,908608,333043,319383,835842,7801196,Automation & AI; Framework; Innovation; Large-Scale
6,NACCER/2024/RD/8535,2024-01-21,Optimization of Flotation Process for Waste Minimization,The proposed study focuses on developing a novel methodology to optimization of flotation process for waste minimization. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. The technology will enable sustainable mining practices and environmental compliance.,Dr. Lakshmi Mehta,IISc Bangalore,Mine Planning,CIL,18,1434757,1214431,344982,131593,171842,395712,3693317,Mine Planning; Flotation; Innovation; Applied Research
7,NACCER/2022/RD/9588,2022-10-22,Development of Advanced Flotation for Waste Minimization in Indian Coal,This research project aims to develop an innovative approach to development of advanced flotation for waste minimization in indian coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Lakshmi Joshi,NERIST,Rock Mechanics,CIL,12,1653136,1088469,267221,140364,151130,396038,3696358,Rock Mechanics; Advanced; Innovation; Applied Research
8,NACCER/2024/RD/1513,2024-10-20,Novel Sensor-Based Sorting Approach for Efficiency Improvement of High-Ash Coal,This research project aims to develop an innovative approach to novel sensor-based sorting approach for efficiency improvement of high-ash coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. The technology will enable sustainable mining practices and environmental compliance.,Prof. Vikram Pillai,IIT Dhanbad,Mine Ventilation,CIL,12,954775,696153,225025,120328,102721,251880,2350882,Mine Ventilation; Sorting; Innovation; Applied Research
9,NACCER/2024/RD/5576,2024-05-06,Optimization of Air Classification Process for Grade Enhancement,The research proposes an advanced solution to optimization of air classification process for grade enhancement. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Anjali Reddy,BIT Mesra,Mine Ventilation,CIL,12,1824108,1479110,504518,188244,202236,503785,4702001,Mine Ventilation; Air; Innovation; Applied Research
10,NACCER/2023/RD/2924,2023-12-15,Autonomous Control for Process Control Optimization,This research project aims to develop an innovative approach to autonomous control for process control optimization. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Arun Pillai,NERIST,Automation & AI,CIL,36,2110906,1408053,349208,237629,199224,516602,4821622,Automation & AI; for; Innovation; Applied Research
